customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,Female,0,Yes,No,1,No,DSL,Month-to-month,Yes,Electronic check,29.85,29.85,No
5575-GNVDE,Male,0,No,No,34,Yes,DSL,One year,No,Mailed check,56.95,1889.5,No
3668-QPYBK,Male,0,No,No,2,Yes,DSL,Month-to-month,Yes,Mailed check,53.85,108.15,Yes
7795-CFOCW,Male,0,Yes,No,45,No,Fiber optic,One year,No,Bank transfer (automatic),42.3,1840.75,No
9237-HQITU,Female,0,No,No,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,70.7,151.65,Yes
9305-CDSKC,Female,0,Yes,Yes,8,Yes,DSL,Month-to-month,Yes,Electronic check,29.75,301.9,No
1452-KIOVK,Male,0,Yes,Yes,22,Yes,DSL,Two year,No,Electronic check,56.95,1215.6,No
6713-OKOMC,Female,0,Yes,No,10,Yes,Fiber optic,Month-to-month,Yes,Electronic check,99.65,820.5,Yes
7892-POOKP,Male,0,Yes,Yes,28,Yes,DSL,One year,No,Credit card (automatic),49.95,1397.5,No
6388-TABGU,Male,0,No,No,62,Yes,Fiber optic,Two year,No,Bank transfer (automatic),89.1,5540.35,No
